Номер тега,Количество изображений с тегом,Человекочитаемое лаконичное представление,Субкатегория,Имя тэга на danbooru,Описание тега с danbooru,"Категория, присвоенная danbooru",Комментарии
707,60470,,,...,"This expression of 3 dots (or more) is commonly called an ellipsis. It is used to describe a moment where a person has nothing really to say, in lieu of the complete absence of expression.",General,
708,60417,,,wristband,A band worn around the wrist. The material they're made of depends on the purpose of the band.,General,
709,60214,,,lingerie,"Lingerie in modern parlance refers to fashionable and often alluring undergarments worn by women. Typically the design will be more exotic/risque, accentuated with pronounced decorative (lace or frill) trim, or is made out of special fabrics, such as silk, which may or may not be [[see-through clothes|sheer]].",General,
710,60183,,,surprised,Picture where one or more characters show signs of surprise. Some visual signs of surprise are [[^^^]] and [[o_o]].,General,
711,61744,,,cherry_blossoms,"Small [[flower]]s of any of several trees of the genus Prunus, especially the Japanese Cherry ([i]Prunus serrulata[/i], the suffix a Latin rendering of [i]sakura[/i]). Usually seen falling or scattered as [[petals]].",General,
712,59950,,,pale_skin,"Having skin that is [b]significantly[/b] lighter in tone than the usual Caucasian/Asian skintone, or skin which appears bleached, lacking in color. For characters with completely white skin, use [[white skin]].",General,
713,59915,,,cropped_jacket,"A piece of clothing similar to a [[jacket]], but shorter, reaching just below the breasts. Often called a bolero.",General,
714,59893,,,toenails,"Tag used when toenails are noticeable in the image, i.e. the toes aren't simply nubs.",General,
715,59884,,,hair_bobbles,"A [[hair ornament]] consisting of an elastic band with one or more bobbles, frequently two large balls, used to tie the hair. It works by wrapping the band around a bundle of hair and securing it by stretching the band over and around the bobble.",General,
716,59743,,,mole_under_mouth,"A [[mole]] or beauty mark just below the mouth. A signature trait of [[2B_(Nier:Automata)|]] from [[nier:automata|NieR Automata]], [[Kurosawa Dia]] from [[Love Live! Sunshine!!]], and [[Marina (splatoon)|]] from [[Splatoon 2]], among others.",General,
717,59675,,,pelvic_curtain,"A dangling, usually rectangular, component of some garments that hangs in front of and/or behind the crotch, leaving the thighs uncovered. Associated especially strongly with the [[loincloth]] and [[china dress]]. A possible result of high [[side slit]]s.",General,
718,59631,,,maid_apron,An [[apron]] worn by a [[maid]]. Usually decorated with [[frilled apron|frills]] and long enough to cover from the chest down to the thighs or knees.,General,
719,59463,,,crescent,Any crescent shape or symbol (☾) other than [[crescent moon]].,General,
720,59659,,,hood_up,"Wearing a [[hood]] on the head, as opposed to leaving the [[hood down]].",General,
721,59461,,,areola_slip,When one or both areolae slip out of clothing or are partially exposed. The [[nipples]] should not be exposed. Recognizable by a pink or red swell of flesh peeking out beneath the clothes.,General,
722,59116,,,wind,Situation in which the image is drawn in such a way that wind is blowing through the subject(s).,General,
723,59042,,,anal,"Anal penetration. This includes anal [[sex]], [[anal fingering]], [[anal object insertion|anal insertion]] of [[sex toy]]s, anal [[tentacle rape|tentacle penetration]], and any other type of anal penetration.",General,
724,58964,,,sex_toy,"A toy or device used for personal sexual purposes. Sex toys are usually designed for [[masturbation]], but they may also be used with a partner.",General,
725,58881,,,official_alternate_hairstyle,"[[Alternate hairstyle]]s of official origin, whether it be from the creators themselves, or from second-parties involved in the given copyright. Generally a hairstyle other than the standard one the character appears in.",General,
726,58688,,,logo,A symbol that acts as a trademark of a company or organization. The logo may be of a company (real or fictitious) or of a copyright.,General,
727,58768,,,red_neckerchief,A [[neckerchief]] that is colored red.,General,
728,58621,,,brown_boots,[[Boots]] that are colored brown.,General,
729,58596,,,foreshortening,"A technique in which an object is depicted at an angle, making it appear shorter than its actual size. This captures the distortion seen by the eye when viewing an object at an unusual angle.",General,
730,58570,,,microphone,"A recording device that is either held by the hands, a metal stand, or simply worn using a [[headset]]. It is used for singing or speaking into, and when the user is using a microphone their voice is amplified by a [[speaker]]. Also includes the microphones used by camera crews to pick up sound.",General,
731,64516,,,night_sky,Images of the sky at [[night]].,General,
732,58513,,,lace_trim,Any article of clothing that has [[lace]] trimmed around its edges.,General,
733,58486,,,arms_behind_head,When a character has both arms behind their own head.,General,
734,58489,,,index_finger_raised,"The index finger of a character's hand is raised while the other fingers stay down, but the character is not [[pointing]].  A famous, paradigmatic example is the fgsfds:https://knowyourmeme.com/memes/fgsfds [[fgsfds (meme)|meme]].",General,
735,58315,,,purple_dress,A [[dress]] that is mainly [[purple]] in color.,General,
736,58294,,,cloak,"Sleeveless outer garments that cover the whole body or at least the upper body, usually with an opening or slit in the front. It functions as an overcoat to protect from cold and wind, or as a fashion garment.",General,
737,58287,,,baseball_cap,"A type of soft cap with a long, stiff bill that may either be curved or flat. The back of the cap may have an adjuster.",General,
738,57740,,,o-ring,"Any clothing or accessories that have an O-shaped ring through which parts of a garment can pass and then connect together. Any types of clothes that aren't implicated here can just use this tag as a placeholder, rather than creating new tags for every type of o-ring clothing.",General,
739,57687,,,eyeshadow,A type of eye [[makeup]]. A colored powder applied to the eyelids to make the eyes stand out or look more attractive.,General,
740,57605,,,rope,"Fiber threads twisted together to form a strong length. Rope can be used to make [[swing]]s, tie [[pig]]s, keep people out of a [[treehouse]], [[rappelling]], tie up a partner in [[bondage]], and for many other purposes.",General,
741,57589,,,blue_nails,[[Fingernails]] and/or [[toenails]] that are colored blue.,General,
742,57586,,,adapted_costume,"An [[alternate costume]] that is based on a character's default costume or another existing [[official alternate costume|official costume]]. Can also be used when the adapted costume is based on a costume of another character, combined with [[cosplay]].",General,
743,57502,,,gauntlets,"A type of [[armor]] taking the form of padded, hardened, or metal gloves or mitts.  A typical gauntlet will have a cuff that partially extends over the forearm with a flared opening suitable for use in conjunction with other arm protection, such as vambraces. For tagging, if it looks like a metal glove or mitten, it's probably a gauntlet.",General,
744,57462,,,ejaculation,"Male or [[futanari]] ejaculation, the expulsion of [[cum|semen]] through the shaft of a [[penis]].",General,
745,57425,,,^^^,"A pointed, crown-like symbol drawn next to a character's head to represent [[surprised|surprise]], understanding or shock.  Depending on the style, it may have the appearance of a [[crown]], a series of hash marks or some variation thereof. Usually there are three points, though there is some variation.",General,
746,57395,,,multiple_tails,A character with more than one [[tail]]. A common example of this would be [[kyuubi]] (nine-tailed fox) type characters.,General,
747,57243,,,blue_necktie,A [[necktie]] that is colored blue.,General,
748,57287,,,sheath,"Scabbard, a container for a [[sword]] or other large blade. If it is a container for a gun use [[holster]] instead.",General,
749,57081,,,waist_apron,A type of [[apron]] that covers from only the waist down. Commonly used in [[waitress]] and some [[maid]] uniforms.,General,
750,56595,,,sleeves_past_fingers,"Sleeves that reach past the fingers, covering the entire hand. Even longer than [[sleeves past wrists]].",General,
751,56559,,,twin_drills,"[[Drill hair]] that is tied into two curled locks of hair, like [[twintails]]. Stereotypically associated with ojou-sama characters.",General,
752,56586,,,beard,"[[Facial hair]] that grows on the chin, cheeks and neck.",General,
753,56398,,,bridal_gauntlets,"A type of tight-fitting handwear, usually elbow-length. Its major distinguishing feature is that it is secured by a ring or loop of cloth about one finger, rather than separate finger-holes. Commonly worn as part of a [[wedding dress]], hence the name.",General,
754,56261,,,cropped_legs,"When a character's legs appear cut off inside the image, i.e. there is a visible gap between the end of the legs and the edge of the image.",General,
755,56248,,,pink_nails,[[Fingernails]] and/or [[toenails]] that are colored pink.,General,
756,56144,,,buckle,Any device used to secure two loose ends together.,General,
757,56141,,,hand_on_own_face,When a character has a hand on their own face. Often overlaps with [[hand on own cheek]].,General,
758,56136,,,nature,When [[scenery]] with wild [[plant]]s is clearly visible.,General,
759,56026,,,breast_press,"The act of pressing one's [[breasts]] against something, whether it be [[breasts on glass|a window]], another person, etc.",General,
760,55790,,,hakama,"Traditional [[Japanese clothes|Japanese clothing]], looking like either a [[pleated skirt]] ([[hakama skirt]]) or baggy, pleated [[pants]] ([[hakama pants]]). A traditional hakama has seven deep pleats, five in the front and two in the rear.",General,
761,55982,,,web_address,"A web address (e.g. www.example.com) is somewhere in the image, usually as a [[watermark]].",General,
762,55513,,,spoken_heart,♥!,General,
763,55379,,,casual,"When a character who generally is depicted wearing a costume (including formal outfits, uniforms, armor, or any other clothes unusual in day-to-day life) is dressed in modern day street clothes without obvious ornamentation.",General,
764,55190,,,bike_shorts,"Tight, form-fitting athletic shorts composed of nylon and Spandex that reach about mid-thigh.",General,
765,55125,,,open_coat,"A [[coat]] that is open and unbuttoned, revealing the body underneath.",General,
766,55259,,,curvy,"Characters who have a fuller, more exaggerated figure than average. Pronounced [[large breasts]] (or bigger), [[wide hips]], and other feminine features are good candidates for the curvy tag. Posts where simply any size of [[breasts]] or hips are visible don't automatically qualify for the tag.",General,
767,55052,,,pom_pom_(clothes),"A small pom pom worn on any piece of clothing, whether it is headwear, body clothing or shoes.",General,
768,54836,,,round_eyewear,Eyewear that have pronounced circular or oval lenses.,General,
769,54938,,,string_bikini,A [[bikini]] whose top or bottom is connected by thin strings rather than wide straps.,General,
770,54807,,,interlocked_fingers,Fingers interlocking/interlacing.,General,
771,54580,,,breath,"Visible [[steam|water vapor]] exhaled in puffs, usually in [[winter]] weather. Also used to emphasize the steaminess of an erotic scene.",General,
772,54703,,,gold_trim,An article of clothing or armor that has a golden trim around at least one of its edges.,General,
773,54688,,,yellow_bow,A [[bow]] that's colored [[yellow]].,General,
774,54563,,,holding_book,Someone is [[holding]] one or more [[book|books]].,General,
775,54566,,,colored_sclera,When the sclera - the white part of the eye - is a color other than white.,General,
776,53750,,,black_wings,[[Wings]] that are coloured black.,General,
777,54309,,,between_breasts,"When an object (other than a [[penis]]) fits or is pressed between the breasts. If it is a penis, use [[paizuri]] instead.",General,
778,54314,,,looking_away,"Ambiguous. If the character is deliberately looking away from the viewer or character(s) out of a certain emotion, use [[averting eyes]]. If the character is simply <b>not looking at the viewer</b>, use one of the tags that indicates looking direction listed below. If the character is angling their body in some way relative to the viewer or character(s), but has eyes closed or obstructed, use one of the tags that indicates facing direction listed below.",General,
779,53616,,,male_pubic_hair,[[Pubic hair]] on a male character.,General,
780,53664,,,cropped_torso,"When a character is only drawn from the waist up, and their legs or lower body appear to be cut off inside the image.",General,
781,53591,,,eye_contact,"Two characters looking directly into each others eyes. Not for images where two people simply face each other, avert their gaze, or are [[looking at viewer|looking at the viewer]].",General,
782,53551,,,short_hair_with_long_locks,Hairstyles that would otherwise be classified as [[short hair]] if it wasn't for 1 or 2 locks of [[long hair]].,General,
783,53438,,,tearing_up,"The [[tears]] that form in the eyes just before [[crying]] or anything else that may cause tears to be shed ([[laughing]], waking up, etc.).",General,
784,53404,,,wet_clothes,"[[Wet]] clothes are quite clingy, often times accentuating curves and even becoming [[see-through clothes|see-through]] while still leaving something to the imagination. White clothes achieve the most erotic results.",General,
785,53165,,,black_vest,A [[vest]] that is colored black.,General,
786,53083,,,single_earring,When a character is wearing only one [[earrings|earring]] on one of their ears.,General,
787,52879,,,neck_bell,A [[collar]] decorated with one or more [[bell]]s. They are usually used on small domestic [[pet]]s (such as [[cat]]s) as a way of listening to their location if they wander too far from their home.,General,
788,52794,,,carrying,"Supporting something or someone, usually with one's arms.",General,
789,52938,,,pink_panties,[[Panties]] that are predominately pink in color.,General,
790,52798,,,dragon_horns,The [[horns]] of a [[dragon]].,General,
791,52644,,,plate,A flat serving platter for many different types of non-liquid [[dishes]]. Usually but not always circular.,General,
792,52556,,,brown_gloves,[[Gloves]] that are colored [[brown]].,General,
793,52473,,,genderswap,"A genderswap refers to the almost magical version of a sex change, wherein a character of one sex turns into one of the other sex without any medical involvement.",General,
794,52538,,,faceless,"When the entire front of the character's head is within the frame, but obscured or not completely drawn. Typically used on various background characters (such as a [[crowd]] of [[people]]) to deemphasize them, or on a self-insert character in various NSFW works who were meant to be anonymous and/or representing the reader/viewer.",General,
795,52515,,,blue_flower,A [[flower]] that is blue.,General,
796,52305,,,skirt_set,"A skirt and matching top, such as with the same pattern, print, or color. The top is usually a [[shirt]] or [[vest]]. Many [[serafuku]] have this.",General,
797,52282,,,blue_shorts,Any style of [[shorts]] that are colored [[blue]].,General,
798,52266,,,patreon_username,"The rendering of a page on Patreon found somewhere on an image. The name of the page could be seen in a URL of the page, as just the name next to the [[patreon logo|logo]], or found in a message asking a user to visit the page so long as it's clearly discernible as a Patreon page. Commonly this is a name for the artist or one of their accounts but it does not have to be. If it is a verified name of the artist, tag [[artist name]] as well.",General,
799,52249,,,pink_shirt,Any style of [[shirt]] that's colored [[pink]].,General,
800,52027,,,large_pectorals,When the [[pectorals]] tag is not enough and the chest is noticeably larger. Frequently with [[muscular male]]s.,General,
801,52253,,,semi-rimless_eyewear,"Eyewear that only have rims only [[over-rim_eyewear|over the top]] or [[under-rim_eyewear|under the bottom]] of the lens, leaving the other half rimless. Also possible are eyewear that have rims only along the sides, leaving both the top and bottom rimless.",General,
802,52234,,,two-tone_background,When a background consists of only two colors. May or may not involve a [[gradient background|gradient]] transition between them.,General,
803,52197,,,red_hat,A [[hat]] that is colored red.,General,
804,51990,,,close-up,An image in which the subject is shown at very close range.,General,
805,51983,,,restrained,A character who is prevented from moving by something or someone.,General,
806,53260,,,cover_page,"[[Cover]] art for print media, other than [[magazine cover]]s. The majority of these will be [[doujin cover|doujin covers]], although [[manga cover|manga]], [[novel cover|novel]], artbook, calendar (etc) cover art can be found here too. The tag may apply to both real and [[fake cover|mock-up]] images.",General,
807,51859,,,corset,"A form-fitting garment, worn around the waist and fastened with laces.",General,
808,51939,,,red_shoes,[[Shoes]] that are colored red.,General,
809,51877,,,panty_pull,"[[Panties]] pulled down from the natural waist position, but not totally removed.",General,
810,51819,,,camisole,"A short, [[sleeveless]] top with [[spaghetti strap|thin straps]]. Camisoles can be worn as regular garments, but they can also be worn as an [[undershirt]].",General,
811,51664,,,forehead,A post where a character's forehead is especially noticeably or prominent.,General,
812,51733,,,peaked_cap,"A cap worn by many armed forces and uniformed civilian organizations, such as law enforcement agencies.",General,
813,51653,,,white_pants,Any style of [[pants]] that are colored [[white]].,General,
814,51537,,,androgynous,"Use this tag for characters with facial or bodily features deliberately drawn in a way that makes it ambiguous whether they're male or female. [[Trap]]s, [[bishounen]]s, [[reverse trap]]s and handsome ladies:/pools/6118 often display this trait.",General,
815,51302,,,glowing_eyes,"For eyes that shine. This could be a usual visual trait of the character or it could indicate the character is using some sort of special power. It can also be used humorously to indicate that the character is about to respond aggressively to an opportunity or provocation, often involving an unsuspecting victim.",General,
816,51499,,,red_gloves,[[Gloves]] that are colored [[red]].,General,
817,51289,,,green_background,Backgrounds with a solid or predominantly [[green]] color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
818,51134,,,motor_vehicle,"Any motorized, self-propelled ground vehicle that [b]does not[/b] operate on [[railroad tracks]]. Commonly wheeled or sometimes has [[caterpillar tracks]].",General,
819,51008,,,facial,[[Cum]] on someone's face.,General,
820,50959,,,brown_background,Backgrounds with a solid or predominantly [[brown]] color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
821,50941,,,demon_wings,"[[Wings]] of [[demon girl]]s and [[demon boy]]s or worn by those [[cosplay|cosplaying]] as such. Has a large overlap with [[bat wings]], but demon wings can have claws, a wider range of colors, and more stylized appearances.",General,
822,50772,,,third_eye,"A character depicted having a third eye in addition to the usual two. The extra eye does not have to be located on the head. (e.g. [[Reiuji Utsuho]], [[Komeiji Satori]], [[Komeiji Koishi]]) Other, non-[[Touhou]] examples of third eyes include [[Beelzebumon]], [[Jirachi]], [[Magolor Soul]], and [[Tenshinhan]].",General,
823,50698,,,clothing_aside,"Clothing normally worn over the genitals has been pulled aside to expose them, often for sexual activity of some kind.",General,
824,50743,,,breasts_apart,"When the [[breasts]] rest far apart, either due to gravity pulling them apart or due to being physically held apart.",General,
825,50520,,,pink_ribbon,A [[ribbon]] that is colored [[pink]].,General,
826,50441,,,arm_at_side,"When one arm is at rest on its side of the body, while the other arm is doing something else such as being spread out, reaching out, on the hip, behind the head, and so on.",General,
827,50262,,,spikes,"Sharp, pointy protrusions on a surface or object used for stabbing those who come too close to them. Mainly used for defense.",General,
828,50251,,,white_skin,"Skin whose predominant color is 100% [[white]], like [[milk]] or [[snow]], having no pigment at all. The opposite of [[black skin]].",General,
829,50226,,,frilled_apron,An [[apron]] with [[frills]].,General,
830,50145,,,covering_privates,"Covering up private areas due to embarrassment or shyness, or to tease another person.",General,
831,50212,,,hand_fan,A tool used to move air towards oneself and cool oneself. It's commonly used when it's hot.,General,
832,50128,,,purple_background,Backgrounds with a solid or predominantly [[purple]] or [[lavender]] color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
833,49978,,,jingle_bell,"A spherical metal ball containing an unattached clapper with only a small slit opening, for higher pitched ringing. This [[bell]] is largely associated with holidays like [[Christmas]] or seen on the [[neck bell|collars]] of domestic [[pet|pets]].",General,
834,49708,,,pink_skirt,A [[skirt]] or [[miniskirt]] that is colored [[pink]].,General,
835,49829,,,one_eye_covered,A character has one eye completely covered.,General,
836,49696,,,angry,"A person who is angry. Especially evident when an [[anger vein]] is present, or when the character is [[glaring]].",General,
837,49380,,,happy_birthday,Use this tag when the greeting Happy [[Birthday]] is mentioned within the image.,General,
838,49564,,,hair_rings,"Any sort of hairstyle where the hair is shaped into rings, such as the Chinese [[feixianji (hairstyle)|]] hairstyle.",General,
839,49213,,,sweater_vest,"A type of [[sweater]] that doesn't have [[sleeveless|sleeves]], but also doesnt have a [[turtleneck]] or is worn over a shirt, usually a [[dress shirt]], thus resembling more of a [[vest]] than a shirt or [[sleeveless sweater]].",General,
840,49204,,,white_coat,A [[coat]] that is colored [[white]].,General,
841,49164,,,black_sailor_collar,A [[sailor collar]] that is colored [[black]].,General,
842,49140,,,micro_bikini,A [[bikini]] that provides minimal coverage to the wearer — (barely) over the privates and [[nipples]].,General,
843,48914,,,clothes_writing,"Clothing that has writing on it, such as [[english text|English]], Japanese, [[korean text|Korean]], and so on.",General,
844,48887,,,christmas,"A holiday celebrated on December 25th with varying significance amongst different people. In the Philippines, the holiday starts at the 1st of September until the end of December, making it the longest Holiday in the world.",General,
845,48847,,,low-tied_long_hair,"[[Long hair|Long]] or [[very long hair]] that has been tied down low, at the middle or the bottom of the hair.",General,
846,48741,,,high_collar,Clothing that includes a tall collar.,General,
847,48619,,,black_bowtie,A [[bowtie]] that is colored black.,General,
848,48580,,,blue_bikini,A [[bikini]] that is colored blue.,General,
849,48570,,,wolf_tail,Use this tag when a character has a [[wolf]]-like [[tail]].,General,
850,48560,,,robe,"A loose-fitting outer garment, covering the body completely, that usually reaches the knees or feet.",General,
851,48505,,,white_boots,[[Boots]] that are colored white.,General,
852,48668,,,brown_pantyhose,[[Pantyhose]] that is brown.,General,
853,48481,,,armlet,"A decorative band, usually made of precious metal and may feature precious gems, that is worn for ornament around the upper arm.",General,
854,48416,,,tsurime,"Eyes drawn with the top eyelid slanting inwards. This usually produces a strong, piercing look and is generally given to characters with forceful personalities (naturally, exceptions exist). Also known as a positive canthal tilt or slanted eyes.",General,
855,48388,,,side_slit,"When a dress or skirt has a cutout slit. Either single or double and in some cases, accidental through fighting.",General,
856,48396,,,green_bow,A [[bow]] that's colored [[green]].,General,
857,48353,,,floating,"Moving or hovering in the air, seemingly without the help of an outside propulsion system (i.e wings).",General,
858,48124,,,veins,Large [[blood]] vessels bulging under the skin.,General,
859,48215,,,pocket,"A small bag or pouch sewn into a piece of clothing, meant to hold small items.",General,
860,48184,,,furrowed_brow,When the skin on the forehead (the brow) becomes creased due to concentration or anxiety. Very commonly these skin wrinkles aren't explicitly drawn but are depicted as eyebrows with inner tips bending up.,General,
861,48115,,,freckles,Small brownish spot(s) (of the pigment melanin) on the skin.,General,
862,48069,,,multicolored_eyes,"A character's [b]single[/b] iris has more than one color. For a character whose [b]two irises[/b] have different colors from each other, please use [[heterochromia]].",General,
863,48031,,,yellow_shirt,Any style of [[shirt]] that's colored [[yellow]].,General,
864,47922,,,winter_uniform,A [[school uniform]] worn during [[winter]] or [[cold]]er months. Notable examples are [[long sleeves|long-sleeved]] [[black serafuku]] or [[blazer]]s worn over [[cardigan]]s.,General,
865,47776,,,spot_color,"A mostly-[[monochrome]], [[muted color|muted]] and/or [[dark]] picture, with a few colors employed to 'pop out' and draw the viewer's attention.",General,
866,47921,,,clenched_hands,"Hands that are tightly closed, or clenched, like fists.",General,
867,47771,,,smoke,A suspension of airborne particulate and gases as the result of incomplete [[burning|combustion]] or chemical reaction.,General,
868,47757,,,blouse,"A blouse is a loose-fitting [[shirt]], usually designed to hang outside the clothes.",General,
869,47592,,,green_jacket,A [[jacket]] that is coloured green.,General,
870,47556,,,science_fiction,A genre of fiction which centers around futuristic science and technology.,General,
871,47530,,,grey_jacket,A [[jacket]] that is colored grey.,General,
872,47495,,,hair_flaps,Tufts of hair coming from the side of the head. A frequent target for [[expressive hair|expressivity]].,General,
873,47433,,,mecha,"[b]Mecha[/b] (メカ - [i]me-ka[/i]) are giant [[robot]]s, robot vehicles, robot construction equipment, robot mobile buildings and generally over-sized robot machines. While the original Japanese definition extends to include power armor, exoskeletons, and general sci-fi machinery, for danbooru purposes this tag is for piloted and/or giant robots.",General,
874,47237,,,bow_panties,"[[Panties]] that have a [[bow]], typically located on the front or sides.",General,
875,47118,,,single_glove,A character wearing a [[gloves|glove]] on only one hand.,General,
876,47013,,,beads,"A small piece of glass, stone, or similar material, typically rounded and perforated for threading with others as a [[necklace]], [[bracelet]] or [[rosary]], or for sewing onto fabric.",General,
877,47049,,,paizuri,"A [[tag group:sex acts|sex act]] in which a person (male or [[futanari]]) has their [[penis]] rubbed in the [[cleavage]] between their partner's [[breasts]]. Also known as titty fucking or mammary intercourse. On Danbooru, the Japanese term 'paizuri' (ぱいずり) is used.",General,
878,46936,,,dual_persona,Two different versions of the same character appearing together in the same scene. Example: [[Saber (fate)|]] & [[Saber Alter]].,General,
879,47122,,,knee_up,"A single knee is raised into the air. For [[kneeling]] on only [b]one knee[/b], use [[on one knee]].",General,
880,46795,,,topless_male,"Nude from the waist up. For example, wearing [[pants]], [[shorts]], [[male swimwear]] or [[male underwear]] without a [[shirt]] or other upper-body clothing.",General,
881,46833,,,cowgirl_position,"A sexual position in which the penetrating partner is lying down and the receiving partner is [[straddling]] them while facing towards their partner. The penetrating partner can be a man, futanari, woman with a strap-on, etc.",General,
882,46739,,,mary_janes,"A style of women's [[shoes]] characterized by a single strap across the top of the foot in place of laces or a zipper. Usually [[black footwear|black]], short-heeled or [[flats|flat]], and very smooth-featured, with a simple buckle to hold the strap tight. Commonly seen on [[school uniform]]s, [[lolita fashion]], and fetish porn stars.",General,
883,46780,,,tentacles,"A tentacle is an elongated flexible organ present in animals, especially invertebrates such as [[octopus]]es. Usually, tentacles are used for feeding, feeling and grasping. In manga and anime, [[plant]]s may have tentacles as well, in the form of movable [[vines]]. And, naturally, other animals and monsters are depicted with tentacles.",General,
884,46715,,,purple_bow,A [[bow]] that's colored [[purple]].,General,
885,46708,,,sleeves_rolled_up,"When a character wears their clothes with both or one of its sleeves rolled up. This can be either to cool themselves off, to prevent the sleeves from getting dirty or wet, because of clothing regulations (for example [[uniform|uniforms]]), or because of their taste in fashion.",General,
886,46556,,,half_updo,"A hairstyle that consists of the hair at the temples pulled back into a [[hair bun]], [[short ponytail]], or just a bow at the back of the head, while the rest of the hair remains flowing loosely. The hair being pulled back can also be tied into [[half up braid]]s.",General,
887,46401,,,desk,A piece of furniture with a writing surface and usually drawers or other compartments.,General,
888,46367,,,zipper,"A popular device - designed with specially shaped metal or plastic teeth -  for temporarily joining two edges of [[jacket|fabric]]. It's also on other daily used items: [[suitcase|suitcases]], [[backpack|backpacks]], [[handbag|handbags]] etc.",General,
889,46317,,,brown_jacket,A [[jacket]] that is colored [[brown]].,General,
890,46351,,,toned,"A character who has a toned or athletic build, but is not overly [[muscular]].",General,
891,46275,,,rifle,"A long [[gun|firearm]] designed to be [[firing|fired]] from the shoulder, with a barrel that has a helical pattern of grooves (rifling) cut into the barrel walls. The [[rifling]] causes the speeding [[bullet]] to spin, giving it more stability and penetrating power.",General,
892,46248,,,dragon_girl,A female character with a dragon-like appearance.,General,
893,46198,,,front-tie_top,"A front-tie top may refer to a [[bikini]] top (or less commonly, a [[bra]] undergarment such as at post #478758) which closes in front of the chest by two or more ends tied together, forming a knot between the breasts. It may also refer to a [[tied_shirt|plain shirt]] or [[crop_top|crop top]] tied in the same manner, forming a type of [[halterneck]] which both emphasizes the resulting bare [[midriff]] and the bustline or [[cleavage]]. Variations may be purely ornamental in nature rather than functional (e.g. [[bow bra]], post #490346), mostly theoretical (a mere ribbon at post #652439), or may feature a [[o-ring_top|metal loop]] to help connect bra cups together and tie to a neck strap.",General,
894,45936,,,reflection,"Images that feature a reflection - that is, a mirrored subject on any reflective surface. The reflection may even be [[reflection focus|the main focus of the image]].",General,
895,45759,,,ball,"Blanket term for any (usually) spherical object, especially one that has ambiguous use or is merely present in the image.",General,
896,46032,,,furry_female,A [[furry]] that is female.,General,
897,45540,,,doll,"A doll is a small representation of a human or humanoid figure, designed for interactive play and display. Dolls can be crafted from a variety of materials, including both hard substances like plastic and wood, and soft materials such as cloth and rubber.",General,
898,45475,,,snow,"Precipitation consisting of crystalline ice, which falls in arctic and temperate climates under low temperatures.",General,
899,45261,,,furry_male,A [[furry]] that is male.,General,
900,45392,,,vertical-striped_clothes,Clothes patterned with vertical [[striped_clothes|stripes]].,General,
901,45321,,,full_moon,"When the earth is between the sun and the moon, and the hemisphere of the Moon that is facing the earth appears round.",General,
902,45205,,,blue_hat,A [[hat]] that is colored blue.,General,
903,45135,,,track_jacket,"A type of [[jacket]] generally used as athletic wear. Often seen with stripes running lengthwise, a ribbed collar, and/or a prominent [[zipper]].",General,
904,46640,,,drinking_glass,"Any type of glass [[cup]] made for drinking cold beverages. Using one to drink a hot beverage is not recommended as it could break, unless the glass is thick.",General,
905,45066,,,hair_scrunchie,"A [[scrunchie]] worn in the hair, most commonly to fasten [[long hair]] into a [[ponytail]] or [[twintails]].",General,
906,45085,,,:<,"A facial expression used to describe characters where their mouth is shaped like a upward pointing chevron (upside down V) or their upper lip is shaped that way. Common mouth shapes to use with this tag are a upside down V , triangle shape (point facing upwards), and teardrop shape.",General,
907,45055,,,gift,"Any box, bag, or container wrapped in plain or patterned paper and decorated with [[ribbon|ribbons]]. Gifts are often given on [[birthday|birthdays]], [[Christmas]], or [[valentine|Valentine's Day]].",General,
908,44919,,,wide_hips,Hips that are markedly wider than normal (at least as wide as the shoulders).,General,
909,44918,,,blood_on_face,Pictures of when a character has [[blood]] (whether it be due to [[blood splatter|splatters]] or [[bleeding]]) on their face.,General,
910,44808,,,pencil_skirt,"A tight-fitting [[skirt]] with a straight, narrow cut. Generally the hemline ranges from knee length to [[miniskirt]] length, and the bottom fits closely around the legs.",General,
911,44834,,,convenient_censoring,"Obstructing the view of genitals (or some other sensitive anatomical features) using several devices within a scene, such as unnecessary smoke or views with obstacles immediately in front of the viewer. Note that this tag mostly applies to obstructions that happen to be there against all odds, not cases where characters are deliberately covering themselves with something other than clothes.",General,
912,44799,,,high-waist_skirt,"A [[skirt]] with a high waistline, typically anywhere from navel-height to [[underbust|just below the breasts.]]",General,
913,44787,,,cum_on_breasts,When [[cum]] is present on a woman's [[breasts]].,General,
914,44710,,,green_dress,A [[dress]] that is mainly [[green]] in color.,General,
915,44700,,,clothed_female_nude_male,"An image where the female is wearing clothes, but the male is [[nude]]. This is sometimes used to imply [[femdom|dominance]].",General,
916,44684,,,cake,"A baked [[dessert]] made from a dough or thick batter usually containing flour and sugar and often shortening, eggs, and a raising agent.  They're often covered in either [[icing]] or frosting and decorated with embroidery, figures, flowers, or other toppings.",General,
917,44628,,,striped_panties,[[Panties]] that are [[striped]].,General,
918,44533,,,tareme,"Eyes drawn with the top eyelid slanted outwards, to the point where the outer corner of the eye is much lower than the inner corner.",General,
919,45444,,,high_heel_boots,[[Boots]] that have [[high heels]].,General,
920,44488,,,:p,Someone [[tongue out|sticking out their tongue]] with their [[closed mouth|mouth closed]].,General,
